country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,external_id,partyfacts_id
ALB,manifesto,75810,PASH,Partia Agrare e Shqipërisë,Agrarian Party of Albania,1991,2001,1789,840
ALB,manifesto,75722,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,1991,1997,1853,819
ALB,manifesto,75220,PPS,Partia Socialiste e Shqipërisë,Albanian Socialist Party,1991,2001,1715,1729
ALB,manifesto,75421,AD,Partia Aleanca Demokratike,Democratic Alliance Party,1992,2001,1778,594
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,1533,190
ALB,manifesto,75623,PLL,Partia Lëvizja e Legalitetit,Legality Movement Party,1991,1997,1786,732
ALB,manifesto,75622,PUK,Partia e Unitetit Kombëtar,Party of National Unity,1992,1992,1949,2571
ALB,manifesto,75621,PP,Partia Popullore,People’s Party,1991,1991,1448,2571
ALB,manifesto,75320,PSD,Partia Socialdemokrate ë Shqipërisë,Social Democratic Party of Albania,1991,2001,1649,838
ALB,manifesto,75951,OMONIA,Partia Bashkimi për të Drejtat e Njeriut,Union for Human Rights Party,1991,2001,1718,1636
ALB,manifesto,75721,BK,E Djatha e Bashkuar e Shqipërisë,United Albanian Right,1996,1997,1914,674
ARG,manifesto,150601,AR,Acción por la República,Action for the Republic,1999,1999,25032,6112
ARG,manifesto,150032,ALIANZA,"Alianza pol el Trabajo, la Justiciay la Educación","Aliance for Work, Justice, and Education",1999,1999,25076,6116
ARG,manifesto,150061,,Alianza Unión-PRO,Alliance Union-PRO,2009,2009,18750,1790
ARG,manifesto,150210,ARI,Alternativa para una República de Iguales,Alternative for a Republic of Equals,2003,2003,18682,1215
ARG,manifesto,150031,UNA,Una Nación Avanzada,An Advanced Union,2007,2007,18710,3889
ARG,manifesto,150026,FAP,Frente Amplio Progressista,Broad Progressive Front,2011,2013,15494,6161
ARG,manifesto,150040,,Allianza de Centro,Center Alliance,1989,1989,25049,3889
ARG,manifesto,150023,CC,Coalición Cívica,Civic Coalition,2007,2007,18734,6159
ARG,manifesto,150301,UCR,Unión Cívica Radical,Civic Radical Union,1989,2013,15521,1724
ARG,manifesto,150027,FREJULI,Compromiso Federal,Federal Commitment,2007,2011,18711,1863
ARG,manifesto,150202,FREPASO,Frente para un País Solidario,Front for a Country in Solidarity,1995,1995,25054,5553
ARG,manifesto,150022,FPL + UCeDé,Frente por la Lealtad y Unión del Centro Democrático,Front for Loyalty and Union of the Democratic Centre,2003,2003,18749,4182
ARG,manifesto,150025,FpV,Frente para la Victoria,Front for Victory,2003,2013,15477,2530
ARG,manifesto,150205,MP,Frente del Movimiento Popular,Front of the popular movement,2003,2003,18686,3889
ARG,manifesto,150222,,Es posible,It is possible,2009,2009,18732,2580
ARG,manifesto,150028,,Concertación Justicialista para el Cambio,Justicialist Coalition for Change,1999,1999,25035,3889
ARG,manifesto,150201,PJ,Partido Justicialista,Justicialist Party,1995,1995,25074,623
ARG,manifesto,150029,FREJUPO,Frente Justicialista de Unidad Popular,Justicialist Party of Popular Unity,1989,1989,25065,3889
ARG,manifesto,150221,MPN,Moviemiento Popular Neuquino,Neuquén People's Movement,2009,2009,18735,868
ARG,manifesto,150220,,Nuevo Encuentro,New Encounter,2009,2009,18698,6088
ARG,manifesto,150230,,Frente Popular,Popular Front,2011,2011,18670,5086
ARG,manifesto,150401,RECREAR,Recrear para el Crecimiento,Recreate for Growth,2003,2003,18731,1116
ARG,manifesto,150024,ACyS,Acuerdo Cívico y Social,Social and Civic Agreement,2009,2009,18729,3889
ARM,manifesto,76041,HAK,Hay Azgayin Kongres,Armenian National Congress,2012,2012,15504,4539
ARM,manifesto,76321,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,1999,2012,3767,2020
ARM,manifesto,76222,HKK,Hayastani Komunistakan Kusaktsutyun,Communist Party of Armenia,1995,1999,3700,2018
ARM,manifesto,76430,,Zharangutyun,Heritage,2007,2012,15534,3783
ARM,manifesto,76421,A,Ardarutyun,Justice,2003,2003,3629,2008
ARM,manifesto,76712,AZhM,Azgayin Zhoghovrdakan Miutyun,National Democratic Union,1995,1999,3739,2009
ARM,manifesto,76521,AIM,Azgayin Inknoroshum Miavorum,National Self-Determination Union,1995,1995,3755,2010
ARM,manifesto,76904,AM,Azgayin Miabanutyun,National Unity Party,2003,2003,3641,2011
ARM,manifesto,76620,BHK,Bargavadj Hayastan Kusaktsutyun,Prosperous Armenia,2007,2012,15497,4205
ARM,manifesto,76711,HA,Hanrapetutyun,Republic,1995,1995,3634,2012
ARM,manifesto,76610,HHK,Hayastani Hanrapetakan Kusaktsutyun,Republican Party of Armenia,2003,2012,3751,2013
ARM,manifesto,76902,IM,Iravunk ev Miabanutyun,Right and Unity,1999,1999,3761,3890
ARM,manifesto,76420,OEK,Orinats' Yerkir,Rule of Law,1999,2012,3691,2007
ARM,manifesto,76901,,Shamiram,Semiramis (Women’s Movement),1995,1995,3624,2015
ARM,manifesto,76322,MAK,Miavorvac Ashkhatankayin Kusaktsutyun,United Labour Party,2003,2003,3729,2016
ARM,manifesto,76903,M,Miasnutyun,Unity,1999,1999,3568,2013
AUS,manifesto,63321,AD,Australian Democrats,Australian Democrats,1990,2001,1414,990
AUS,manifesto,63110,,Australian Greens,Australian Greens,2004,2016,3763,1209
AUS,manifesto,63320,ALP,Australian Labor Party,Australian Labor Party,1946,2016,1980,424
AUS,manifesto,63622,CLP,Country Liberal Party,Country Liberal Party,2013,2013,15499,143
AUS,manifesto,63330,ALP-AC,Democratic Labor Party,Democratic Labor Party,1955,1977,2027,1540
AUS,manifesto,63710,KAT,Katter's Australian Party,Katter's Australian Party,2013,2016,15496,1997
AUS,manifesto,63621,LNP,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2016,3668,285
AUS,manifesto,63620,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2016,1851,486
AUS,manifesto,63810,CP,National Party of Australia,National Party of Australia,1946,2016,1831,1743
AUS,manifesto,63901,NXT,Nick Xenophon Team,Nick Xenophon Team,2016,2016,29061,5453
AUS,manifesto,63410,PUP,Palmer United Party,Palmer United Party,2013,2013,15468,1996
AUT,manifesto,42710,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,3710,599
AUT,manifesto,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2002,2008,1408,996
AUT,manifesto,42420,VdU,Freiheitliche Partei Österreichs,Austrian Freedom Party,1949,2017,1656,463
AUT,manifesto,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1949,2017,1913,1329
AUT,manifesto,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1949,2017,1711,1384
AUT,manifesto,42421,LIF,Liberales Forum,Liberal Forum,1994,1995,1875,605
AUT,manifesto,42120,PILZ,Liste Peter Pilz,Peter Pilz List,2017,2017,29053,6137
AUT,manifesto,42951,TS,Team Stronach für Österreich,Team Stronach for Austria,2013,2013,25061,1971
AUT,manifesto,42110,GA,Die Grünen,The Greens,1986,2017,2007,1659
AUT,manifesto,42430,NEOS,Das Neue Österreich und Liberales Forum,The New Austria and Liberal Forum,2013,2017,25047,1970
AZE,manifesto,77430,ADPS,Azərbaycan Demokratik Sahibkarlar Partiyası,Azerbaijan Democratic Entrepeneurs Party,1995,1995,3777,1990
AZE,manifesto,77710,AMİP,Azərbaycan Milli İstiqlal Partiyası,Azerbaijan National Independence Party,1995,2000,3693,1991
AZE,manifesto,77420,AXC,Azərbaycan Xalq Cebhesi,Azerbaijan Popular Front,1995,2000,3626,1992
AZE,manifesto,77221,AVKP,Azərbaycan Vahid Kommunist Partiyası,Azerbaijan United Communist Party,2000,2000,3619,1993
AZE,manifesto,77951,VHP,Vatandas Hamrayliyi Partiyası,Civil Solidarity Party,2000,2000,3563,1994
AZE,manifesto,77220,YAP,Yeni  Azərbaycan Partiyası,New Azerbaijan Party,1995,2000,3779,1995
BLR,manifesto,78212,APB,Agrarnaya Partiya Belarusi,Agrarian Party of Belarus,1995,1995,3663,2037
BLR,manifesto,78214,BPR,Belaruski Patryatychny Rukh,Belarusan Patriotic Movement,1995,1995,3721,2036
BLR,manifesto,78213,BKhP,Belaruskaya Syalanskaya Partiya,Belarusan Peasants' Party,1995,1995,3576,2606
BLR,manifesto,78710,BSDP,Belaruskaja Sacyjal-Demakratychnaya Partiya ‘Hramada’,Belarusian Social-Democratic Party ‘Hramada’,1995,1995,3732,2035
BLR,manifesto,78211,PKB,Partiya Komunistau Belaruskaya,Party of Communists of Belarus,1995,1995,3682,2030
BLR,manifesto,78410,PNZ,Partiya Narodnaya Zgody,Party of People’s Consent,1995,1995,3587,2606
BLR,manifesto,78901,BPZ-N,Belaruskaya Partiya Zhanchyn ‘Nadzeya',Party of Women ‘Nadzeja’,1995,1995,3566,2606
BLR,manifesto,78430,ADPB,Abyadnanya Demakratychnaya Partiya Belarusi,United Democratic Party of Belarus,1995,1995,3704,2033
BEL,manifesto,21320,BSP/PSB,Belgische Socialistische Partij/Parti Socialiste Belge,Belgian Socialist Party,1946,1977,1691,480
BEL,manifesto,21521,CVP,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2010,1679,622
BEL,manifesto,21522,PSC,Parti Social Chrétien,Christian Social Party,1968,2010,1966,633
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,1740,1563
BEL,manifesto,21914,VB,Vlaams Blok,Flemish Bloc,1978,2003,1484,553
BEL,manifesto,21917,VB,Vlaams Belang,Flemish Interest,2007,2010,3738,1968
BEL,manifesto,21520,PSC/CVP,Parti Social Chrétien/Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People’s Party,1946,1965,1744,405
BEL,manifesto,21912,FDF,Front Démocratique Francophones,Francophone Democratic Front of Francophones,1965,1991,1935,698
BEL,manifesto,21322,PS,Parti Socialiste,Francophone Socialist Party,1978,2010,1680,500
BEL,manifesto,21112,AGALEV,Groen!,Green!,1981,2010,1776,528
BEL,manifesto,21424,PL,Parti Libéral,Liberal Party,1971,1978,1440,382
BEL,manifesto,21422,PLP,Parti Réformateur Libéral,Liberal Reformation Party,1971,1991,1928,554
BEL,manifesto,21423,PRL-FDF,Parti Réformateur Libéral - Front Démocratique des Francophones,Liberal Reformation Party - Francophone Democratic Front,1995,1995,1967,8259
BEL,manifesto,21425,PRL-FDF-MCC,Parti réformateur libéral - Front Démocratique des Francophones - Mouvement des Citoyens pour la Changement,Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change,1999,1999,1774,554
BEL,manifesto,21430,LDD,Lijst Dedecker,List Dedecker,2007,2010,3728,43
BEL,manifesto,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2010,3694,36
BEL,manifesto,21421,PVV,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,1971,2010,1580,49
BEL,manifesto,21420,LP/PL,Partij voor Vrijheid en Vooruitgang/Parti de la Liberté et du Progrès,Party of Liberty and Progress,1946,1968,2031,275
BEL,manifesto,21913,CVV,De Volksunie,Peoples’ Union,1954,1995,1623,1424
BEL,manifesto,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,1953,1424
BEL,manifesto,21426,MR,Mouvement Réformateur,Reform Movement,2003,2010,3640,789
BEL,manifesto,21321,SP,Socialistische Partij Anders,Socialist Party Different,1978,2010,1410,1680
BEL,manifesto,21221,sp.a-SPIRIT,Socialistische Partij Anders - Spirit,Socialist Party Different - Spirit,2003,2007,3744,1586
BEL,manifesto,21330,SPIRIT,"Sociaal, Progressief, International, Regionalistisch, Integraal-democratisch en Toekomstgericht","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",2007,2007,3661,7015
BEL,manifesto,21911,RW,Rassemblement Wallon,Walloon Rally,1968,1981,1904,281
BOL,manifesto,151617,APB,Autonomía para Bolivia,Autonomy for Bolivia,2009,2009,25037,1880
BOL,manifesto,151540,PDC,Partido Demócrata Cristiano,Christian Democratic Party,2014,2014,18706,5139
BOL,manifesto,151640,UN,Unidad Democráta,Democratic Union,2009,2014,18704,3903
BOL,manifesto,151250,MAS-IPSP,Movimiento Al Socialismo - Instrumento Político por la Soberanía de los Pueblos,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,2009,2014,18721,442
BOL,manifesto,151610,MNR,Movimiento Nacionalista Revolucionario,Nationalist Revolutionary Movement,2009,2009,25033,568
BOL,manifesto,151062,PPB-CN,Plan Progreso para Bolivia–Convergencia Nacional,Plan Progress for Bolivia – National Convergence,2009,2009,25044,1700
